Date,zone,centre,Price
14-04-93,4,BANGALORE,520
14-04-93,4,THIRUVANANTHAPURAM,NA
14-04-93,4,ERNAKULAM,NA
14-04-93,4,CHENNAI,551
14-04-93,4,MADURAI,550
14-04-93,4,PONDICHERRY,NA
21-04-93,1,HISAR,320
21-04-93,1,KARNAL,320
21-04-93,1,SHIMLA,NA
21-04-93,1,MANDI,336
21-04-93,1,SRINAGAR,NA
21-04-93,1,JAMMU,NA
21-04-93,1,AMRITSAR,325
21-04-93,1,LUDHIANA,325
21-04-93,1,LUCKNOW,315
21-04-93,1,KANPUR,335
21-04-93,1,CHANDIGARH,325
21-04-93,1,DELHI,350
21-04-93,2,AHMEDABAD,460
21-04-93,2,RAJKOT,340
21-04-93,2,PANAJI,NA
21-04-93,2,BHOPAL,375
21-04-93,2,INDORE,356
21-04-93,2,MUMBAI,500
21-04-93,2,NAGPUR,413
21-04-93,2,JAIPUR,312
21-04-93,2,JODHPUR,315
21-04-93,3,GUWAHATI,NA
21-04-93,3,PATNA,390
21-04-93,3,SHILLONG,NA
21-04-93,3,AIZAWL,NA
21-04-93,3,BHUBANESHWAR,NA
21-04-93,3,CUTTACK,NA
21-04-93,3,KOLKATA,NA
21-04-93,3,AGARTALA,NA
21-04-93,4,HYDERABAD,600
21-04-93,4,VIJAYAWADA,680
21-04-93,4,BANGALORE,520
21-04-93,4,THIRUVANANTHAPURAM,NA
21-04-93,4,ERNAKULAM,NA
21-04-93,4,CHENNAI,551
21-04-93,4,MADURAI,550
21-04-93,4,PONDICHERRY,620
28-04-93,1,HISAR,332
28-04-93,1,KARNAL,330
28-04-93,1,SHIMLA,NA
28-04-93,1,MANDI,336
28-04-93,1,SRINAGAR,NA
28-04-93,1,JAMMU,NA
28-04-93,1,AMRITSAR,327
28-04-93,1,LUDHIANA,330
28-04-93,1,LUCKNOW,310
28-04-93,1,KANPUR,335
28-04-93,1,CHANDIGARH,330
28-04-93,1,DELHI,350
28-04-93,2,AHMEDABAD,460
28-04-93,2,RAJKOT,345
28-04-93,2,PANAJI,510
28-04-93,2,BHOPAL,370
28-04-93,2,INDORE,375
28-04-93,2,MUMBAI,500
28-04-93,2,NAGPUR,413
28-04-93,2,JAIPUR,310
28-04-93,2,JODHPUR,320
28-04-93,3,GUWAHATI,NA
28-04-93,3,PATNA,NA
28-04-93,3,SHILLONG,470
28-04-93,3,AIZAWL,NA
28-04-93,3,BHUBANESHWAR,NA
28-04-93,3,CUTTACK,NA
28-04-93,3,KOLKATA,NA
28-04-93,3,AGARTALA,NA
28-04-93,4,HYDERABAD,600
28-04-93,4,VIJAYAWADA,680
28-04-93,4,BANGALORE,NA
28-04-93,4,THIRUVANANTHAPURAM,NA
28-04-93,4,ERNAKULAM,NA
28-04-93,4,CHENNAI,551
28-04-93,4,MADURAI,550
28-04-93,4,PONDICHERRY,600
05-05-93,1,HISAR,NA
05-05-93,1,KARNAL,NA
05-05-93,1,SHIMLA,NA
05-05-93,1,MANDI,336
05-05-93,1,SRINAGAR,NA
05-05-93,1,JAMMU,NA
05-05-93,1,AMRITSAR,NA
05-05-93,1,LUDHIANA,NA
05-05-93,1,LUCKNOW,310
05-05-93,1,KANPUR,335
05-05-93,1,CHANDIGARH,NA
05-05-93,1,DELHI,340
05-05-93,2,AHMEDABAD,450
05-05-93,2,RAJKOT,345
05-05-93,2,PANAJI,520
05-05-93,2,BHOPAL,375
05-05-93,2,INDORE,NA
05-05-93,2,MUMBAI,500
05-05-93,2,NAGPUR,415
05-05-93,2,JAIPUR,300
05-05-93,2,JODHPUR,310
05-05-93,3,GUWAHATI,NA
05-05-93,3,PATNA,435
05-05-93,3,SHILLONG,470
05-05-93,3,AIZAWL,NA
05-05-93,3,BHUBANESHWAR,NA
05-05-93,3,CUTTACK,NA
05-05-93,3,KOLKATA,NA
05-05-93,3,AGARTALA,NA
05-05-93,4,HYDERABAD,580
05-05-93,4,VIJAYAWADA,680
05-05-93,4,BANGALORE,520
05-05-93,4,THIRUVANANTHAPURAM,NA
05-05-93,4,ERNAKULAM,NA
05-05-93,4,CHENNAI,540
05-05-93,4,MADURAI,550
05-05-93,4,PONDICHERRY,600
12-05-93,1,HISAR,332
12-05-93,1,KARNAL,330
12-05-93,1,SHIMLA,NA
12-05-93,1,MANDI,NA
12-05-93,1,SRINAGAR,NA
12-05-93,1,JAMMU,NA
12-05-93,1,AMRITSAR,330
12-05-93,1,LUDHIANA,330
12-05-93,1,LUCKNOW,330
12-05-93,1,KANPUR,332
12-05-93,1,CHANDIGARH,330
12-05-93,1,DELHI,340
12-05-93,2,AHMEDABAD,440
12-05-93,2,RAJKOT,345
12-05-93,2,PANAJI,495
12-05-93,2,BHOPAL,375
12-05-93,2,INDORE,395
12-05-93,2,MUMBAI,500
12-05-93,2,NAGPUR,425
12-05-93,2,JAIPUR,320
12-05-93,2,JODHPUR,330
12-05-93,3,GUWAHATI,NA
12-05-93,3,PATNA,390
12-05-93,3,SHILLONG,470
12-05-93,3,AIZAWL,NA
12-05-93,3,BHUBANESHWAR,NA
12-05-93,3,CUTTACK,NA
12-05-93,3,KOLKATA,NA
12-05-93,3,AGARTALA,NA
12-05-93,4,HYDERABAD,550
12-05-93,4,VIJAYAWADA,NA
12-05-93,4,BANGALORE,NA
12-05-93,4,THIRUVANANTHAPURAM,NA
12-05-93,4,ERNAKULAM,NA
12-05-93,4,CHENNAI,530
12-05-93,4,MADURAI,550
12-05-93,4,PONDICHERRY,NA
